Shipment_ID,Shipment_Date,Region,Transport_Mode,Distance_km,Shipment_Volume_kg,Priority,Warehouse_Processing_Hours,Delivery_Time_Hours,Transportation_Cost,Delay_Hours,On_Time_Delivery,Customer_Rating
SHP0024,2025-06-10,North,Rail,1515,333.7,Standard,4.37,29.5,915.8,1.59,Yes,4.0
SHP0025,2025-11-10,North,Road,1276,254.18,Standard,3.58,29.2,1058.88,2.59,Yes,4.3
SHP0026,2025-01-22,South,Road,2118,128.9,Standard,3.87,44.28,1574.16,13.14,No,2.9
SHP0027,2025-09-10,North,Road,2832,248.2,Standard,5.55,60.73,2044.6,2.11,Yes,4.6
SHP0028,2025-08-24,West,Road,1175,165.21,Standard,1.66,26.16,855.6,1.01,Yes,4.4
SHP0029,2025-12-11,West,Air,115,940.7,Standard,6.19,7.07,1287.18,7.36,No,3.9
SHP0030,2025-02-18,North,Road,2700,290.14,Express,5.08,55.43,1808.6,1.93,Yes,4.8
SHP0031,2025-02-28,East,Air,1184,74.26,Standard,1.01,5.97,2102.47,1.57,Yes,5.0
SHP0032,2025-06-19,West,Sea,387,791.84,Standard,3.27,15.43,511.08,0.32,Yes,5.0
SHP0033,2025-07-07,West,Rail,2220,142.14,Standard,1.6,39.05,1224.89,11.19,No,3.5
SHP0034,2025-09-28,East,Air,1778,111.91,Standard,3.1,9.25,2756.16,0.25,Yes,4.8
SHP0035,2025-07-09,West,Rail,496,992.85,Standard,6.7,16.09,496.19,6.18,No,3.9
SHP0036,2025-06-24,West,Rail,2708,282.05,Standard,1.59,47.38,1269.25,2.18,Yes,4.0
SHP0037,2025-02-20,East,Rail,2768,361.6,Standard,2.65,45.0,1469.4,0.87,Yes,3.9
SHP0038,2025-12-30,North,Rail,2712,369.87,Express,2.06,42.78,1488.23,0.42,Yes,4.5
SHP0039,2025-02-24,South,Road,2994,191.68,Standard,2.85,58.6,1811.24,2.53,Yes,5.0
SHP0040,2025-09-01,West,Road,330,148.31,Express,4.2,13.72,596.26,0.77,Yes,5.0
SHP0041,2025-11-16,North,Road,645,166.25,Standard,1.06,15.13,700.11,0.39,Yes,4.8
SHP0042,2025-05-11,West,Rail,2036,682.8,Standard,4.39,34.34,1200.95,0.35,Yes,4.9
SHP0043,2025-11-03,North,Road,2800,255.35,Standard,8.43,63.2,1829.23,5.47,No,3.9
SHP0044,2025-05-15,North,Sea,1124,555.04,Standard,6.37,40.34,817.89,2.38,Yes,4.5
SHP0045,2025-01-21,South,Air,259,209.87,Standard,3.17,8.17,1096.75,1.81,Yes,4.3
SHP0046,2025-11-25,North,Road,175,130.48,Standard,2.46,11.82,431.18,1.15,Yes,4.4
SHP0047,2025-06-16,West,Road,541,80.68,Express,8.37,18.96,517.28,4.86,Yes,4.4
SHP0048,2025-10-01,West,Sea,1019,348.49,Express,3.49,34.89,735.21,0.4,Yes,4.5
SHP0049,2025-03-30,West,Air,630,724.78,Standard,11.19,15.66,1872.81,6.95,No,4.1
SHP0050,2025-11-12,East,Air,2874,119.08,Express,3.11,10.49,4143.15,1.27,Yes,4.6
SHP0051,2025-01-14,North,Road,2355,317.15,Standard,2.8,48.64,1662.1,3.41,Yes,4.9
SHP0052,2025-08-30,East,Road,1261,84.53,Express,1.87,26.02,911.89,14.7,No,3.2
SHP0053,2025-09-22,East,Road,279,150.06,Standard,5.74,16.47,481.55,2.72,Yes,4.6
SHP0054,2025-12-12,East,Road,238,267.08,Standard,3.87,13.87,530.13,4.79,Yes,3.7
SHP0055,2025-02-22,South,Air,2107,66.04,Express,3.68,9.41,3114.99,12.41,No,3.1
SHP0056,2025-12-06,East,Air,2773,218.63,Standard,8.24,14.37,4092.4,3.96,Yes,4.3
SHP0057,2025-04-02,South,Rail,551,123.26,Express,4.13,13.98,451.82,16.76,No,2.8
SHP0058,2025-09-21,West,Sea,2182,338.1,Standard,6.55,70.87,1092.69,4.08,Yes,4.5
SHP0059,2025-02-04,West,Rail,98,197.2,Standard,4.53,10.09,255.77,8.37,No,3.9
SHP0060,2025-07-25,South,Rail,2935,427.35,Standard,4.66,47.46,1528.49,0.83,Yes,4.3
SHP0061,2025-03-22,East,Road,738,182.05,Standard,1.71,22.34,754.59,0.11,Yes,5.0
SHP0062,2025-02-19,East,Sea,436,85.31,Standard,4.43,18.77,312.05,0.66,Yes,4.6
SHP0063,2025-12-26,North,Road,1019,78.19,Express,3.61,25.11,771.79,0.49,Yes,4.5
SHP0064,2025-01-02,West,Sea,1055,58.19,Standard,3.55,36.56,499.89,0.42,Yes,4.4
SHP0065,2025-02-23,West,Air,2315,344.84,Express,5.13,15.46,3649.41,1.71,Yes,4.5
SHP0066,2025-04-16,South,Road,1774,1326.65,Express,1.63,38.47,1671.2,0.08,Yes,4.6
SHP0067,2025-09-17,South,Rail,2054,300.27,Standard,1.1,38.5,1093.71,0.32,Yes,5.0
SHP0068,2025-11-06,South,Sea,2352,713.68,Express,3.46,72.64,1214.03,0.3,Yes,4.7
SHP0069,2025-07-10,South,Rail,2333,489.56,Express,8.71,44.25,1359.93,4.0,Yes,4.5
SHP0070,2025-08-06,North,Sea,1657,154.03,Express,1.83,49.8,885.26,1.81,Yes,4.0
SHP0071,2025-02-13,West,Sea,1839,536.85,Express,1.89,57.48,893.08,1.19,Yes,4.9
SHP0072,2025-06-11,North,Road,320,158.38,Express,3.53,9.76,555.25,1.55,Yes,4.8
SHP0073,2025-07-21,South,Road,172,160.6,Standard,3.09,8.76,567.61,13.85,No,2.6
SHP0074,2025-09-27,West,Sea,2753,191.33,Standard,5.67,87.07,1200.31,2.39,Yes,4.2
SHP0075,2025-12-17,East,Air,1330,197.78,Express,4.64,10.25,2305.73,2.01,Yes,4.3
SHP0076,2025-10-31,South,Road,1494,351.76,Standard,1.87,31.88,1172.28,0.98,Yes,4.6
SHP0077,2025-09-28,North,Road,308,138.43,Standard,3.68,10.39,382.75,0.3,Yes,4.5
SHP0078,2025-08-03,North,Rail,997,412.56,Standard,1.35,23.6,774.44,1.18,Yes,4.6
SHP0079,2025-09-09,East,Sea,2144,408.43,Express,3.53,66.36,1016.39,0.87,Yes,4.9
SHP0080,2025-07-09,North,Air,912,281.48,Standard,1.57,8.41,1858.28,13.88,No,2.9
SHP0081,2025-10-23,East,Air,574,860.68,Express,3.13,14.51,1962.25,2.62,Yes,4.6
SHP0082,2025-08-01,West,Road,937,545.21,Standard,3.03,22.31,1018.53,13.18,No,3.3
SHP0083,2025-07-27,North,Road,257,468.16,Standard,5.89,11.34,507.14,1.66,Yes,3.6
SHP0084,2025-08-25,West,Sea,2844,231.9,Standard,1.52,84.0,1185.83,1.58,Yes,4.3
SHP0085,2025-12-04,West,Road,198,283.22,Standard,6.25,12.31,408.32,5.77,No,4.5
SHP0086,2025-02-22,North,Road,487,319.47,Standard,1.76,18.44,798.75,0.59,Yes,4.4
SHP0087,2025-10-07,West,Road,2252,223.47,Express,0.82,42.31,1684.99,2.77,Yes,4.1
SHP0088,2025-08-05,East,Air,1771,170.22,Express,4.99,10.97,2880.54,7.1,No,4.3
SHP0089,2025-09-09,West,Sea,407,41.1,Standard,6.68,20.25,287.32,4.39,Yes,4.3
SHP0090,2025-07-07,East,Road,1290,365.93,Standard,4.44,31.34,1067.02,1.66,Yes,5.0
SHP0091,2025-02-10,East,Rail,1980,458.98,Express,5.61,37.45,1153.81,2.06,Yes,4.4
SHP0092,2025-06-06,East,Rail,505,98.22,Express,9.06,19.37,598.33,6.37,No,4.5
SHP0093,2025-01-15,West,Sea,2873,338.19,Standard,3.64,86.94,1289.65,5.16,No,3.9
SHP0094,2025-10-28,East,Road,1682,146.34,Standard,6.59,38.34,1267.03,3.58,Yes,3.5
SHP0095,2025-03-06,East,Rail,678,171.3,Standard,6.26,16.77,308.22,4.99,Yes,4.4
SHP0096,2025-12-11,West,Road,2929,554.2,Express,4.46,60.31,2075.53,5.89,No,4.3
SHP0097,2025-11-23,North,Sea,535,110.67,Standard,6.41,23.56,267.43,11.17,No,3.7
SHP0098,2025-01-09,North,Rail,2630,110.55,Standard,2.05,42.5,1262.43,2.06,Yes,4.5
SHP0099,2025-12-10,North,Road,249,783.2,Standard,9.17,15.84,664.82,10.51,No,4.1
SHP0100,2025-05-09,South,Rail,420,199.96,Express,4.51,19.06,389.07,2.89,Yes,4.8
SHP0101,2025-05-16,North,Air,1063,529.84,Standard,3.55,5.96,2193.33,6.5,No,4.3
SHP0102,2025-03-04,West,Road,2032,72.31,Standard,1.87,40.91,1342.74,8.21,No,3.9
SHP0103,2025-05-19,North,Sea,2950,76.48,Standard,3.25,88.27,1217.64,0.22,Yes,4.3
SHP0104,2025-03-22,East,Road,1521,116.86,Standard,2.62,34.31,1107.07,4.34,Yes,4.3
SHP0105,2025-06-12,North,Rail,297,158.06,Standard,2.19,8.21,353.13,0.29,Yes,4.9
SHP0106,2025-10-16,West,Road,837,82.91,Express,3.72,20.47,735.01,0.75,Yes,5.0
SHP0107,2025-09-18,West,Air,2361,286.72,Express,2.86,12.7,3729.89,0.81,Yes,4.8
SHP0108,2025-08-19,South,Road,2128,300.13,Express,3.92,43.73,1361.48,1.92,Yes,4.2
SHP0109,2025-02-10,West,Sea,1571,118.07,Express,4.37,58.18,770.59,1.69,Yes,4.8
SHP0110,2025-01-28,North,Air,1322,124.83,Standard,4.9,12.06,2251.42,11.9,No,3.8
SHP0111,2025-05-15,West,Rail,654,136.9,Express,4.65,15.08,482.48,1.64,Yes,5.0
SHP0112,2025-07-20,North,Air,1739,97.96,Standard,7.55,13.99,2673.15,3.03,Yes,4.4
SHP0113,2025-11-24,West,Air,1467,29.17,Standard,2.33,11.39,2335.55,4.23,Yes,4.2
SHP0114,2025-09-25,North,Road,1870,208.61,Express,3.85,50.86,1220.83,0.02,Yes,4.3
SHP0115,2025-02-02,East,Road,551,163.81,Standard,3.16,13.46,626.92,3.31,Yes,4.2
SHP0116,2025-02-17,West,Sea,2983,175.97,Standard,2.3,88.19,1300.0,2.02,Yes,4.7
SHP0117,2025-03-03,North,Road,598,109.04,Standard,3.85,16.47,560.74,3.43,Yes,3.9
SHP0118,2025-08-04,North,Air,1415,390.47,Standard,5.76,9.65,2718.07,5.2,No,4.9
SHP0119,2025-10-20,North,Sea,888,1209.27,Standard,3.71,33.82,745.43,0.4,Yes,4.6
SHP0120,2025-04-09,South,Road,1480,123.49,Express,3.62,31.21,1110.75,1.75,Yes,4.6
SHP0121,2025-06-21,East,Air,1498,589.8,Express,2.55,5.62,2923.59,6.43,No,4.1
SHP0122,2025-12-26,North,Rail,897,286.19,Standard,2.9,17.4,804.01,4.65,Yes,4.6
SHP0123,2025-08-02,South,Rail,663,226.96,Standard,2.49,14.35,430.7,0.61,Yes,4.8
SHP0124,2025-02-04,North,Road,461,174.01,Standard,2.5,12.16,518.28,1.88,Yes,4.2
SHP0125,2025-08-15,West,Road,2529,208.88,Express,6.07,54.3,1705.84,8.35,No,3.9
SHP0126,2025-04-11,North,Air,727,495.08,Standard,2.9,5.32,1751.45,1.0,Yes,5.0
SHP0127,2025-05-11,South,Air,208,99.82,Standard,3.47,4.48,946.23,0.1,Yes,4.5
SHP0128,2025-09-14,North,Air,2111,182.64,Standard,2.92,9.25,3176.7,2.38,Yes,4.8
SHP0129,2025-01-05,South,Rail,422,530.75,Standard,2.19,8.59,602.23,0.42,Yes,4.8
SHP0130,2025-08-06,West,Road,2322,440.8,Standard,1.41,46.49,1731.27,6.22,No,4.1
SHP0131,2025-09-12,South,Air,1146,100.91,Express,7.08,11.34,2107.48,5.58,No,3.9
SHP0132,2025-12-25,North,Road,2608,194.84,Standard,3.69,52.26,1684.71,0.54,Yes,4.7
SHP0133,2025-10-10,West,Sea,652,368.56,Standard,0.92,22.99,448.76,2.06,Yes,4.7
SHP0134,2025-07-26,West,Air,265,352.27,Standard,3.34,11.15,1213.74,1.36,Yes,4.5
SHP0135,2025-01-15,North,Air,2046,438.16,Express,2.12,17.51,3420.37,6.08,No,3.7
SHP0136,2025-12-12,West,Sea,1614,289.74,Standard,5.98,55.9,782.47,2.15,Yes,4.2
SHP0137,2025-02-11,West,Road,1890,325.83,Standard,4.56,43.28,1391.98,0.73,Yes,4.8
SHP0138,2025-06-28,North,Air,2012,281.45,Standard,1.99,8.39,3166.49,0.19,Yes,4.9
SHP0139,2025-03-04,West,Road,2937,669.02,Standard,3.75,60.13,2085.79,8.21,No,3.8
SHP0140,2025-12-18,East,Sea,776,164.8,Express,2.78,26.85,400.18,0.82,Yes,5.0
SHP0141,2025-08-19,South,Road,1294,229.0,Standard,2.19,29.29,951.19,2.25,Yes,3.9
SHP0142,2025-08-29,North,Air,2651,108.8,Express,6.38,16.57,3921.92,2.87,Yes,4.6
SHP0143,2025-02-21,North,Sea,1115,94.78,Standard,1.41,34.26,566.24,0.03,Yes,4.2
SHP0144,2025-04-06,West,Road,725,277.96,Express,5.9,26.03,838.14,1.6,Yes,4.6
SHP0145,2025-08-10,West,Road,2970,133.36,Standard,3.06,60.47,1977.85,1.56,Yes,4.7
SHP0146,2025-08-19,East,Air,332,212.64,Express,1.84,4.71,1140.41,2.44,Yes,4.4
SHP0147,2025-08-25,South,Rail,1131,687.06,Standard,4.15,22.01,777.57,5.84,No,3.4
SHP0148,2025-05-23,East,Road,2931,659.81,Standard,6.58,61.72,1996.12,2.39,Yes,4.5
SHP0149,2025-06-20,East,Road,2634,1050.3,Express,1.63,52.61,2029.75,0.08,Yes,4.8
SHP0150,2025-01-29,South,Road,1958,696.7,Standard,6.36,44.58,1693.3,4.17,Yes,4.6
SHP0151,2025-02-05,North,Sea,1202,1190.48,Standard,2.43,41.08,934.17,15.26,No,2.5
SHP0152,2025-01-13,West,Rail,2939,300.54,Standard,6.7,52.7,1434.7,11.36,No,3.9
SHP0153,2025-06-09,South,Road,997,117.67,Standard,3.15,23.76,803.89,0.21,Yes,3.9
SHP0154,2025-11-23,West,Road,714,109.92,Standard,3.08,16.99,606.84,6.94,No,3.5
SHP0155,2025-07-06,North,Road,1767,588.41,Standard,2.59,37.73,1304.03,0.54,Yes,4.8
SHP0156,2025-08-31,North,Road,1198,229.55,Standard,3.92,27.07,997.37,3.84,Yes,4.4
SHP0157,2025-03-27,North,Road,116,241.84,Express,3.79,6.47,536.45,1.91,Yes,5.0
SHP0158,2025-10-11,South,Road,2103,150.75,Standard,3.5,44.71,1598.42,0.36,Yes,4.8
SHP0159,2025-03-07,West,Road,686,163.95,Express,3.31,16.52,733.31,5.88,No,4.1
SHP0160,2025-06-19,North,Air,363,289.64,Express,1.97,3.98,1164.04,0.58,Yes,4.9
SHP0161,2025-02-14,West,Road,614,105.78,Standard,4.89,16.95,508.76,2.09,Yes,3.7
SHP0162,2025-03-03,East,Rail,1651,265.07,Standard,4.71,30.95,1021.88,12.23,No,3.0
SHP0163,2025-05-14,West,Rail,875,637.63,Standard,3.09,18.41,751.59,3.38,Yes,4.0
SHP0164,2025-10-11,South,Rail,2603,49.72,Standard,1.47,44.04,1248.99,15.54,No,3.3
SHP0165,2025-01-28,West,Air,1155,75.27,Express,1.98,7.32,1966.84,0.32,Yes,5.0
SHP0166,2025-04-18,West,Rail,1075,355.29,Standard,5.32,25.59,772.24,1.62,Yes,5.0
SHP0167,2025-02-13,North,Sea,2301,575.23,Standard,1.7,68.43,1049.84,1.21,Yes,4.9
SHP0168,2025-12-06,North,Air,711,157.13,Standard,3.97,10.93,1550.44,1.73,Yes,4.9
SHP0169,2025-10-13,West,Rail,854,54.67,Standard,4.46,17.59,456.54,1.29,Yes,4.7
SHP0170,2025-11-27,West,Air,2501,603.26,Standard,2.74,8.44,4219.0,12.06,No,3.2
SHP0171,2025-05-08,North,Rail,585,125.49,Standard,3.73,15.05,406.79,3.55,Yes,4.0
SHP0172,2025-12-14,East,Road,1441,171.94,Express,5.64,33.91,1154.6,1.81,Yes,4.2
SHP0173,2025-08-19,West,Road,1285,276.81,Standard,3.31,28.6,957.79,3.41,Yes,3.9
SHP0174,2025-07-09,West,Road,2674,138.86,Standard,2.34,54.51,1756.24,5.38,No,4.4
SHP0175,2025-08-13,West,Sea,2860,119.91,Express,1.7,84.47,1283.0,0.45,Yes,4.6
SHP0176,2025-10-10,West,Air,1970,121.45,Standard,2.82,10.42,3115.29,2.41,Yes,4.3
SHP0177,2025-05-01,South,Sea,2214,812.85,Express,3.69,69.13,1199.99,2.47,Yes,3.8
SHP0178,2025-04-26,South,Rail,677,498.56,Express,0.99,15.48,586.57,0.37,Yes,4.4
SHP0179,2025-08-21,South,Rail,798,331.01,Express,4.23,16.58,550.29,2.05,Yes,4.5
SHP0180,2025-09-16,East,Road,154,47.92,Express,3.47,7.28,265.26,10.4,No,3.0
SHP0181,2025-12-25,East,Air,2592,331.87,Standard,3.32,16.23,4062.16,13.62,No,4.1
SHP0182,2025-07-17,North,Rail,95,319.56,Express,2.32,6.87,318.84,0.46,Yes,4.3
SHP0183,2025-05-17,West,Sea,2920,90.5,Standard,4.28,89.45,1250.05,0.55,Yes,5.0
SHP0184,2025-11-14,East,Road,1404,265.36,Express,3.05,33.68,1208.31,5.4,No,4.1
SHP0185,2025-06-14,East,Rail,1289,462.22,Express,4.03,28.56,887.48,8.89,No,3.5
SHP0186,2025-08-13,South,Air,1031,329.82,Express,2.57,6.19,2041.28,3.27,Yes,4.3
SHP0187,2025-11-03,East,Rail,1009,137.54,Express,4.24,21.28,699.37,9.37,No,3.7
SHP0188,2025-08-22,North,Rail,1565,223.47,Standard,3.6,34.47,841.92,1.7,Yes,4.7
SHP0189,2025-06-21,North,Air,1886,369.17,Express,10.59,15.61,2992.23,5.42,No,3.8
SHP0190,2025-06-01,North,Road,2942,230.81,Standard,6.44,61.23,2061.83,2.04,Yes,4.8
SHP0191,2025-11-11,North,Air,2546,532.72,Express,4.18,12.21,3997.72,18.33,No,2.5
SHP0192,2025-06-09,South,Rail,2633,292.07,Standard,8.23,46.77,1325.94,3.78,Yes,3.9
SHP0193,2025-04-06,East,Sea,2608,375.04,Standard,2.51,79.65,1162.89,1.54,Yes,4.5
SHP0194,2025-08-21,North,Air,1531,393.46,Standard,4.36,9.89,2657.3,0.62,Yes,5.0
SHP0195,2025-06-29,West,Road,1609,104.93,Standard,2.72,32.84,1259.78,2.28,Yes,4.6
SHP0196,2025-04-23,South,Road,2637,229.29,Express,7.13,56.79,1810.56,5.83,No,4.1
SHP0197,2025-11-14,West,Sea,1557,175.45,Standard,2.33,55.07,734.74,4.19,Yes,4.2
SHP0198,2025-02-21,West,Rail,2113,459.75,Standard,6.03,39.4,1077.74,3.41,Yes,4.3
SHP0199,2025-09-25,North,Sea,2050,306.21,Standard,2.48,62.07,989.34,0.48,Yes,4.8
SHP0200,2025-10-22,South,Road,2340,194.08,Express,1.2,45.89,1408.88,6.48,No,3.9
SHP0201,2025-04-23,North,Rail,2023,90.26,Standard,4.53,38.36,1064.3,1.01,Yes,4.8
SHP0202,2025-04-11,East,Air,961,72.4,Standard,5.39,9.8,1876.01,5.44,No,4.3
SHP0203,2025-04-23,East,Sea,1344,275.13,Standard,5.3,46.92,710.74,7.04,No,3.5
SHP0204,2025-03-22,North,Road,2858,134.01,Standard,1.44,57.61,1965.31,1.43,Yes,4.8
SHP0205,2025-07-06,East,Air,1852,352.94,Standard,4.22,15.67,2964.35,4.63,Yes,3.9
SHP0206,2025-04-23,North,Rail,2802,70.09,Standard,4.72,47.66,1524.81,4.79,Yes,3.9
SHP0207,2025-01-02,North,Road,1803,675.24,Standard,1.73,37.33,1565.77,1.68,Yes,4.6
SHP0208,2025-05-10,East,Air,164,352.38,Express,5.11,8.61,1057.85,7.01,No,4.0
SHP0209,2025-08-08,South,Air,1653,237.32,Express,4.94,13.38,2684.99,11.67,No,3.6
SHP0210,2025-02-23,East,Sea,1372,719.2,Standard,7.62,48.62,755.45,3.24,Yes,3.7
SHP0211,2025-12-09,South,Rail,1910,430.05,Express,0.89,29.89,1082.59,5.72,No,4.4
SHP0212,2025-08-12,West,Road,2494,158.78,Standard,1.39,51.41,1773.5,0.33,Yes,4.9
SHP0213,2025-08-13,North,Road,2491,233.76,Standard,2.35,53.32,1596.62,1.84,Yes,4.3
SHP0214,2025-05-06,South,Road,1148,55.98,Standard,7.3,32.64,901.83,3.08,Yes,4.3
SHP0215,2025-05-10,East,Road,1027,466.35,Standard,6.28,28.71,1036.81,2.38,Yes,4.6
SHP0216,2025-02-22,South,Air,1555,179.98,Standard,5.41,12.4,2644.48,2.4,Yes,3.3
SHP0217,2025-06-21,West,Road,1176,55.48,Standard,5.3,31.52,974.72,1.74,Yes,4.2
SHP0218,2025-08-06,East,Sea,346,96.81,Standard,7.64,19.99,194.81,7.16,No,4.3
SHP0219,2025-06-09,East,Sea,2275,407.34,Express,2.01,70.89,1159.02,12.92,No,3.0
SHP0220,2025-07-17,West,Rail,2412,685.17,Standard,5.83,44.96,1367.68,10.35,No,3.5
SHP0221,2025-09-04,West,Sea,1112,224.59,Standard,10.04,43.35,524.29,6.28,No,4.0
SHP0222,2025-11-20,West,Air,308,111.34,Standard,5.99,13.83,1006.48,9.39,No,3.9
SHP0223,2025-07-22,East,Rail,2104,81.9,Standard,2.56,36.72,920.21,13.37,No,3.1
SHP0224,2025-07-03,East,Road,2146,595.99,Standard,6.87,49.86,1685.16,3.32,Yes,4.3
SHP0225,2025-05-03,North,Rail,2258,303.27,Standard,5.59,39.3,1188.32,2.7,Yes,4.5
SHP0226,2025-09-12,North,Rail,1942,175.72,Express,4.55,36.68,933.09,2.12,Yes,4.8
SHP0227,2025-10-21,East,Sea,225,148.74,Standard,1.74,11.48,253.57,1.99,Yes,5.0
SHP0228,2025-10-07,North,Rail,1050,354.35,Standard,2.91,23.4,657.04,2.39,Yes,4.4
SHP0229,2025-11-21,South,Sea,1968,347.59,Standard,3.38,61.2,893.65,0.11,Yes,4.6
SHP0230,2025-04-08,North,Air,2552,118.2,Standard,5.43,11.87,3548.05,6.97,No,3.9
SHP0231,2025-07-17,South,Road,1717,99.52,Standard,3.85,38.81,1095.41,2.58,Yes,5.0
SHP0232,2025-08-28,West,Sea,325,103.1,Standard,3.09,14.65,283.77,1.56,Yes,4.9
SHP0233,2025-05-24,West,Rail,2595,159.53,Standard,6.15,46.61,1267.67,5.6,No,4.0
SHP0234,2025-04-07,North,Road,725,136.61,Standard,1.73,16.68,774.48,0.72,Yes,4.1
SHP0235,2025-07-20,East,Air,1873,687.23,Standard,1.98,7.8,3294.95,1.04,Yes,5.0
SHP0236,2025-05-04,West,Road,1101,155.61,Standard,3.7,30.26,867.85,14.37,No,3.5
SHP0237,2025-07-06,North,Rail,1406,92.32,Standard,2.62,26.64,753.29,2.69,Yes,4.1
SHP0238,2025-11-22,West,Rail,2153,96.02,Standard,6.62,46.03,1085.06,5.78,No,4.0
SHP0239,2025-12-15,South,Road,596,194.65,Standard,1.96,16.97,653.24,3.03,Yes,4.7
SHP0240,2025-09-16,South,Sea,1185,61.84,Standard,2.14,38.83,567.7,6.05,No,4.2
SHP0241,2025-05-28,West,Rail,2133,212.28,Standard,0.78,35.82,1168.78,4.94,Yes,3.5
SHP0242,2025-09-09,North,Road,2090,86.89,Standard,4.58,46.8,1613.93,0.68,Yes,4.3
SHP0243,2025-12-12,East,Rail,488,498.21,Standard,3.12,12.99,453.54,1.91,Yes,4.8
SHP0244,2025-05-27,West,Sea,1802,240.23,Standard,1.8,55.87,892.71,1.62,Yes,4.7
SHP0245,2025-05-28,North,Road,1665,977.22,Express,3.27,37.43,1510.14,0.59,Yes,5.0
SHP0246,2025-12-18,East,Road,1899,188.72,Standard,10.28,46.76,1444.26,5.85,No,4.4
SHP0247,2025-07-18,West,Road,2692,24.72,Express,2.34,53.0,1755.49,2.2,Yes,4.6
SHP0248,2025-11-04,North,Road,1650,614.23,Standard,2.89,33.39,1314.36,10.4,No,3.7
SHP0249,2025-05-08,West,Air,1713,314.61,Standard,1.98,6.57,2771.78,3.48,Yes,4.2
SHP0250,2025-02-08,East,Air,356,350.67,Standard,1.5,9.62,1299.62,10.28,No,3.6
SHP0251,2025-12-04,East,Road,668,109.75,Standard,5.13,18.21,569.11,2.24,Yes,4.6
SHP0252,2025-12-26,East,Air,1182,214.86,Standard,1.22,12.76,2240.36,0.44,Yes,5.0
SHP0253,2025-05-09,South,Road,1445,252.28,Standard,5.71,36.62,1177.3,7.48,No,3.6
SHP0254,2025-09-24,West,Sea,2454,187.45,Standard,5.77,84.83,1089.39,3.18,Yes,4.7
SHP0255,2025-05-31,West,Sea,2278,65.76,Standard,4.21,79.39,886.86,0.76,Yes,4.7
SHP0256,2025-10-25,East,Road,1429,1537.76,Express,3.21,31.46,1628.19,0.39,Yes,5.0
SHP0257,2025-04-09,West,Sea,1749,397.45,Express,3.76,55.8,1007.53,0.26,Yes,4.7
SHP0258,2025-09-20,East,Air,2165,297.2,Standard,1.18,5.73,3364.49,2.13,Yes,5.0
SHP0259,2025-09-09,South,Road,2389,555.42,Standard,4.72,49.72,1698.99,12.26,No,3.1
SHP0260,2025-05-24,East,Road,2789,347.56,Standard,5.47,56.46,1898.23,4.49,Yes,4.3
